Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact,Occupation,Gender,ProductPitched,MaritalStatus,Designation
20.0,1,17.0,3,4.0,5.0,2.0,1,3,1,2.0,17600.0,Self Enquiry,Small Business,Female,Basic,Single,Executive
39.0,3,17.0,3,4.0,3.0,3.0,1,3,0,2.0,24344.0,Company Invited,Large Business,Female,Deluxe,Unmarried,Manager
33.0,3,31.0,2,4.0,4.0,3.0,1,5,1,0.0,23380.0,Self Enquiry,Small Business,Male,Standard,Unmarried,Senior Manager
31.0,1,10.0,3,4.0,5.0,7.0,1,4,1,2.0,21335.0,Self Enquiry,Large Business,Female,Basic,Unmarried,Executive
38.0,1,32.0,3,5.0,3.0,2.0,0,3,0,2.0,24409.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
45.0,1,36.0,3,4.0,3.0,3.0,0,5,1,2.0,23219.0,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
28.0,1,16.0,3,4.0,4.0,3.0,0,3,1,1.0,20957.0,Self Enquiry,Small Business,Female,Basic,Single,Executive
27.0,1,14.0,4,2.0,5.0,2.0,0,1,1,1.0,22256.0,Self Enquiry,Salaried,Male,Basic,Unmarried,Executive
44.0,3,22.0,3,5.0,3.0,5.0,0,5,1,1.0,25482.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
25.0,3,25.0,2,4.0,4.0,2.0,1,1,0,1.0,17413.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
33.0,1,8.0,3,3.0,3.0,5.0,0,3,0,2.0,17496.0,Self Enquiry,Small Business,Male,Basic,Single,Executive
35.0,3,10.0,2,3.0,5.0,1.0,1,4,1,1.0,24582.0,Self Enquiry,Large Business,Male,Standard,Unmarried,Senior Manager
41.0,3,29.0,4,5.0,3.0,4.0,1,3,1,1.0,25058.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
26.0,1,23.0,3,5.0,3.0,2.0,0,3,0,2.0,17305.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
39.0,1,19.0,3,5.0,5.0,4.0,0,5,1,1.0,24966.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
30.0,1,14.0,3,1.0,5.0,1.0,1,1,0,2.0,26416.0,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
45.0,1,31.0,3,6.0,3.0,4.0,0,3,0,2.0,22386.0,Company Invited,Small Business,Male,Basic,Unmarried,Executive
51.0,1,17.0,2,4.0,4.0,4.0,0,1,0,1.0,28142.0,Self Enquiry,Large Business,Female,Super Deluxe,Unmarried,AVP
50.0,1,6.0,3,3.0,4.0,4.0,1,1,0,2.0,33172.0,Company Invited,Salaried,Female,King,Married,VP
34.0,1,25.0,2,4.0,3.0,2.0,0,4,1,1.0,17929.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
27.0,1,13.0,2,4.0,5.0,1.0,0,3,1,0.0,21811.0,Self Enquiry,Small Business,Female,Deluxe,Unmarried,Manager
46.0,1,13.0,1,3.0,3.0,3.0,0,5,1,0.0,20258.0,Company Invited,Small Business,Female,Deluxe,Married,Manager
29.0,3,33.0,2,3.0,3.0,2.0,0,3,1,1.0,22639.0,Self Enquiry,Small Business,Female,Standard,Divorced,Senior Manager
21.0,1,18.0,4,5.0,5.0,3.0,1,3,0,2.0,21278.0,Self Enquiry,Small Business,Female,Basic,Unmarried,Executive
32.0,1,9.0,3,3.0,5.0,2.0,0,2,1,1.0,21725.0,Self Enquiry,Small Business,Female,Deluxe,Divorced,Manager
40.0,3,34.0,2,5.0,5.0,4.0,0,5,0,1.0,25932.0,Company Invited,Salaried,Male,Standard,Married,Senior Manager
22.0,1,25.0,4,4.0,3.0,3.0,0,3,1,2.0,21371.0,Self Enquiry,Salaried,Female,Basic,Unmarried,Executive
50.0,1,8.0,1,3.0,5.0,3.0,0,3,1,0.0,32856.0,Company Invited,Small Business,Female,Super Deluxe,Divorced,AVP
23.0,1,14.0,4,4.0,4.0,3.0,1,3,1,1.0,21150.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
53.0,1,6.0,3,4.0,4.0,2.0,0,3,1,2.0,29123.0,Self Enquiry,Salaried,Male,Standard,Single,Senior Manager
54.0,1,23.0,2,3.0,3.0,1.0,0,5,0,0.0,25739.0,Self Enquiry,Large Business,Female,Standard,Married,Senior Manager
28.0,1,16.0,5,4.0,4.0,3.0,0,3,0,2.0,20957.0,Self Enquiry,Small Business,Female,Basic,Single,Executive
18.0,3,15.0,2,3.0,3.0,2.0,0,5,0,1.0,16611.0,Self Enquiry,Small Business,Male,Basic,Single,Executive
36.0,1,29.0,2,1.0,3.0,5.0,0,3,0,0.0,17571.0,Company Invited,Small Business,Male,Deluxe,Married,Manager
27.0,1,9.0,2,3.0,3.0,2.0,0,2,1,0.0,16706.0,Company Invited,Small Business,Male,Basic,Divorced,Executive
36.0,1,13.0,3,6.0,3.0,3.0,0,5,1,1.0,25324.0,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
46.0,3,9.0,2,3.0,3.0,4.0,0,1,1,0.0,32465.0,Self Enquiry,Small Business,Male,Super Deluxe,Married,AVP
36.0,3,25.0,3,4.0,3.0,3.0,0,4,1,2.0,23279.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
31.0,3,22.0,3,3.0,3.0,3.0,0,5,1,0.0,23161.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
55.0,3,8.0,2,3.0,3.0,5.0,0,1,1,0.0,20160.0,Self Enquiry,Small Business,Male,Deluxe,Single,Manager
52.0,1,7.0,2,5.0,5.0,5.0,0,2,1,1.0,26162.0,Company Invited,Small Business,Female,Standard,Unmarried,Senior Manager
35.0,1,13.0,3,4.0,3.0,3.0,0,3,1,1.0,23487.0,Self Enquiry,Salaried,Female,Deluxe,Unmarried,Manager
41.0,3,9.0,4,4.0,4.0,5.0,0,3,1,2.0,24355.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
34.0,1,35.0,2,3.0,3.0,5.0,0,3,0,0.0,20429.0,Self Enquiry,Small Business,Male,Deluxe,Divorced,Manager
29.0,3,33.0,3,5.0,5.0,3.0,0,4,1,1.0,23402.0,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
34.0,1,7.0,3,5.0,3.0,2.0,0,4,0,1.0,25627.0,Self Enquiry,Salaried,Female,Deluxe,Unmarried,Manager
41.0,3,16.0,2,5.0,4.0,2.0,0,1,1,0.0,21151.0,Company Invited,Small Business,Male,Deluxe,Single,Manager
41.0,3,23.0,4,4.0,3.0,4.0,0,5,0,2.0,22222.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
49.0,1,16.0,2,3.0,5.0,1.0,1,3,0,0.0,33665.0,Company Invited,Salaried,Female,King,Single,VP
40.0,1,14.0,2,4.0,4.0,3.0,0,1,1,1.0,28757.0,Company Invited,Small Business,Male,Standard,Married,Senior Manager
29.0,1,15.0,3,1.0,3.0,7.0,0,5,1,0.0,17451.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
29.0,1,8.0,2,4.0,5.0,1.0,0,4,1,1.0,18339.0,Company Invited,Small Business,Male,Basic,Single,Executive
54.0,3,9.0,3,5.0,4.0,4.0,0,1,1,1.0,26203.0,Company Invited,Small Business,Female,Standard,Married,Senior Manager
38.0,1,21.0,4,4.0,5.0,3.0,0,4,1,1.0,21712.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
21.0,1,13.0,4,5.0,3.0,3.0,1,2,1,2.0,21604.0,Company Invited,Salaried,Female,Basic,Unmarried,Executive
35.0,1,9.0,3,5.0,5.0,3.0,0,1,1,1.0,23059.0,Self Enquiry,Small Business,Female,Basic,Unmarried,Executive
30.0,1,21.0,3,4.0,3.0,2.0,1,5,1,1.0,26231.0,Company Invited,Salaried,Female,Standard,Unmarried,Senior Manager
32.0,3,14.0,4,4.0,5.0,4.0,0,1,1,3.0,28315.0,Company Invited,Small Business,Female,Standard,Married,Senior Manager
50.0,3,6.0,3,3.0,3.0,4.0,0,1,1,0.0,34517.0,Self Enquiry,Small Business,Female,King,Married,VP
38.0,1,8.0,2,3.0,3.0,2.0,1,5,1,1.0,16702.0,Company Invited,Salaried,Male,Basic,Divorced,Executive
31.0,3,23.0,4,4.0,3.0,2.0,0,3,0,3.0,23979.0,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
57.0,1,30.0,2,1.0,3.0,4.0,1,4,1,0.0,24439.0,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
25.0,1,9.0,2,3.0,5.0,5.0,0,5,1,0.0,16118.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
19.0,1,31.0,2,1.0,3.0,2.0,1,5,1,0.0,17994.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
37.0,1,18.0,4,5.0,4.0,3.0,0,4,1,2.0,25177.0,Company Invited,Salaried,Male,Deluxe,Unmarried,Manager
44.0,1,9.0,2,3.0,3.0,5.0,1,1,0,1.0,34513.0,Self Enquiry,Salaried,Male,King,Married,VP
32.0,3,14.0,3,5.0,3.0,5.0,0,4,1,2.0,21007.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
26.0,3,33.0,3,4.0,3.0,3.0,0,4,0,1.0,24858.0,Self Enquiry,Small Business,Female,Deluxe,Unmarried,Manager
45.0,1,7.0,4,2.0,5.0,4.0,0,3,1,3.0,23711.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
50.0,1,7.0,3,5.0,3.0,2.0,1,3,1,1.0,32642.0,Self Enquiry,Large Business,Female,Super Deluxe,Single,AVP
22.0,1,25.0,3,3.0,3.0,2.0,0,1,1,0.0,17323.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
38.0,2,6.0,2,1.0,3.0,2.0,0,4,1,0.0,17844.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
29.0,1,15.0,2,3.0,3.0,1.0,0,5,1,1.0,17974.0,Self Enquiry,Small Business,Female,Basic,Married,Executive
58.0,1,7.0,4,2.0,3.0,2.0,0,3,1,3.0,23578.0,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
43.0,3,33.0,4,4.0,4.0,7.0,0,3,1,2.0,32203.0,Company Invited,Small Business,Female,Super Deluxe,Married,AVP
27.0,1,31.0,4,6.0,3.0,3.0,1,3,0,2.0,21018.0,Self Enquiry,Large Business,Male,Basic,Single,Executive
31.0,1,7.0,3,4.0,3.0,3.0,0,3,1,1.0,22689.0,Company Invited,Small Business,Female,Deluxe,Unmarried,Manager
30.0,2,20.0,3,5.0,5.0,6.0,1,5,1,2.0,21013.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
30.0,1,15.0,3,6.0,5.0,5.0,0,1,0,1.0,28393.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
41.0,1,16.0,3,4.0,4.0,2.0,1,4,0,2.0,22295.0,Company Invited,Small Business,Male,Basic,Married,Executive
34.0,1,22.0,3,4.0,3.0,2.0,1,5,1,1.0,32288.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
50.0,3,18.0,4,4.0,3.0,5.0,0,4,0,2.0,23185.0,Self Enquiry,Small Business,Female,Deluxe,Unmarried,Manager
36.0,1,30.0,3,5.0,3.0,5.0,1,4,1,2.0,24594.0,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
50.0,1,15.0,4,5.0,4.0,3.0,0,3,1,3.0,23808.0,Company Invited,Salaried,Male,Deluxe,Divorced,Manager
46.0,1,12.0,3,6.0,5.0,3.0,1,3,1,1.0,24447.0,Self Enquiry,Small Business,Female,Deluxe,Unmarried,Manager
27.0,1,7.0,4,6.0,3.0,5.0,0,4,1,1.0,23042.0,Company Invited,Salaried,Female,Basic,Married,Executive
31.0,1,35.0,4,4.0,3.0,3.0,0,3,1,3.0,24453.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
20.0,3,15.0,2,3.0,3.0,2.0,1,4,0,0.0,17323.0,Company Invited,Small Business,Female,Basic,Single,Executive
36.0,1,30.0,4,6.0,3.0,2.0,0,1,1,1.0,21383.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
33.0,3,7.0,3,4.0,3.0,3.0,0,5,1,1.0,29100.0,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
31.0,3,12.0,3,4.0,3.0,4.0,0,4,1,2.0,28097.0,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
33.0,1,11.0,4,5.0,3.0,3.0,0,4,1,2.0,24840.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
31.0,1,21.0,3,3.0,3.0,2.0,0,4,1,2.0,17610.0,Company Invited,Small Business,Male,Basic,Divorced,Executive
42.0,3,27.0,4,4.0,4.0,3.0,1,4,0,2.0,21818.0,Self Enquiry,Small Business,Female,Basic,Unmarried,Executive
28.0,1,15.0,3,3.0,3.0,2.0,0,2,1,1.0,17070.0,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
54.0,3,7.0,3,4.0,5.0,2.0,0,1,1,2.0,27059.0,Self Enquiry,Small Business,Female,Deluxe,Unmarried,Manager
44.0,3,9.0,4,4.0,3.0,3.0,0,3,1,3.0,24353.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
30.0,3,10.0,4,4.0,3.0,3.0,0,2,0,1.0,24239.0,Self Enquiry,Small Business,Female,Deluxe,Divorced,Manager
41.0,3,8.0,2,3.0,4.0,2.0,0,3,1,1.0,31015.0,Self Enquiry,Salaried,Male,Super Deluxe,Single,AVP
29.0,3,29.0,2,4.0,5.0,2.0,0,3,1,1.0,22336.0,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
52.0,1,9.0,3,6.0,4.0,7.0,0,2,0,1.0,24160.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
30.0,1,34.0,4,4.0,3.0,6.0,0,2,1,1.0,23013.0,Self Enquiry,Small Business,Female,Deluxe,Divorced,Manager
29.0,3,20.0,3,4.0,4.0,7.0,0,3,1,1.0,22545.0,Company Invited,Large Business,Female,Deluxe,Unmarried,Manager
33.0,1,11.0,2,4.0,3.0,5.0,0,3,0,0.0,22119.0,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
29.0,3,7.0,3,5.0,3.0,3.0,1,1,0,1.0,25512.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
43.0,1,35.0,3,5.0,3.0,2.0,0,3,0,2.0,23201.0,Company Invited,Large Business,Female,Deluxe,Married,Manager
32.0,1,10.0,3,4.0,3.0,3.0,0,4,1,2.0,22762.0,Company Invited,Salaried,Female,Basic,Unmarried,Executive
18.0,1,20.0,2,3.0,3.0,2.0,0,5,1,0.0,16514.0,Company Invited,Small Business,Female,Basic,Single,Executive
33.0,1,17.0,2,4.0,3.0,4.0,0,1,0,1.0,29922.0,Self Enquiry,Small Business,Male,Standard,Single,Senior Manager
39.0,1,12.0,2,4.0,5.0,5.0,0,4,1,0.0,24991.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
50.0,1,28.0,2,5.0,3.0,2.0,1,1,1,1.0,29411.0,Company Invited,Small Business,Male,Super Deluxe,Single,AVP
49.0,1,16.0,2,3.0,5.0,1.0,1,3,0,1.0,33665.0,Company Invited,Salaried,Female,King,Single,VP
37.0,1,7.0,3,4.0,4.0,2.0,0,5,0,1.0,23906.0,Self Enquiry,Salaried,Female,Deluxe,Divorced,Manager
59.0,1,8.0,3,4.0,3.0,4.0,1,5,0,2.0,28726.0,Self Enquiry,Salaried,Female,Super Deluxe,Single,AVP
35.0,1,12.0,3,5.0,5.0,4.0,0,1,1,2.0,30309.0,Self Enquiry,Small Business,Female,Standard,Single,Senior Manager
38.0,1,7.0,3,4.0,3.0,6.0,0,5,1,1.0,26169.0,Self Enquiry,Large Business,Female,Standard,Unmarried,Senior Manager
52.0,1,18.0,3,5.0,4.0,5.0,0,1,0,2.0,31820.0,Self Enquiry,Large Business,Female,Super Deluxe,Single,AVP
36.0,1,18.0,3,4.0,3.0,2.0,1,5,0,1.0,21338.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
32.0,1,36.0,4,5.0,4.0,2.0,0,3,1,3.0,22157.0,Company Invited,Small Business,Male,Basic,Unmarried,Executive
23.0,1,11.0,4,5.0,3.0,7.0,0,5,0,1.0,22572.0,Company Invited,Large Business,Male,Basic,Unmarried,Executive
28.0,1,14.0,3,3.0,3.0,2.0,0,4,1,1.0,18310.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
31.0,1,9.0,3,3.0,3.0,1.0,0,4,1,0.0,28675.0,Company Invited,Small Business,Male,Standard,Married,Senior Manager
44.0,1,14.0,3,1.0,3.0,3.0,1,3,1,0.0,17818.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
39.0,1,6.0,2,1.0,3.0,1.0,0,3,1,0.0,24613.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
44.0,2,6.0,2,3.0,3.0,5.0,1,3,1,0.0,18195.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
33.0,1,13.0,3,4.0,3.0,5.0,0,1,0,2.0,21716.0,Self Enquiry,Salaried,Male,Basic,Unmarried,Executive
39.0,1,8.0,2,3.0,3.0,1.0,0,3,1,0.0,27169.0,Company Invited,Salaried,Male,Super Deluxe,Married,AVP
34.0,1,16.0,3,4.0,3.0,2.0,0,2,1,1.0,21459.0,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
32.0,3,12.0,3,4.0,4.0,3.0,0,3,0,2.0,21467.0,Company Invited,Small Business,Female,Basic,Married,Executive
43.0,1,19.0,3,4.0,4.0,2.0,0,1,1,2.0,21444.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
42.0,1,9.0,4,5.0,3.0,4.0,1,1,0,1.0,25489.0,Company Invited,Salaried,Female,Deluxe,Unmarried,Manager
34.0,3,15.0,3,4.0,3.0,2.0,0,1,0,1.0,25782.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
34.0,2,9.0,3,4.0,3.0,3.0,0,2,0,1.0,22278.0,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
50.0,3,18.0,3,4.0,3.0,3.0,0,4,0,1.0,26332.0,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
43.0,3,22.0,3,3.0,3.0,6.0,1,3,0,1.0,31064.0,Self Enquiry,Small Business,Female,Super Deluxe,Divorced,AVP
31.0,1,13.0,2,3.0,3.0,4.0,0,3,1,0.0,20915.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
37.0,1,6.0,2,4.0,3.0,2.0,0,2,1,1.0,21474.0,Self Enquiry,Salaried,Female,Deluxe,Divorced,Manager
26.0,1,6.0,2,3.0,4.0,2.0,0,5,1,1.0,21397.0,Company Invited,Salaried,Female,Deluxe,Married,Manager
38.0,1,17.0,3,4.0,5.0,2.0,1,3,1,2.0,21460.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
58.0,1,7.0,3,4.0,3.0,4.0,0,3,1,2.0,25433.0,Self Enquiry,Small Business,Male,Deluxe,Divorced,Manager
45.0,3,12.0,2,4.0,3.0,7.0,0,4,1,0.0,23865.0,Company Invited,Small Business,Female,Standard,Unmarried,Senior Manager
52.0,1,10.0,4,4.0,4.0,5.0,0,5,1,2.0,32412.0,Self Enquiry,Small Business,Female,Super Deluxe,Single,AVP
30.0,1,26.0,3,4.0,3.0,6.0,0,5,1,1.0,22940.0,Self Enquiry,Large Business,Male,Deluxe,Married,Manager
33.0,1,10.0,3,4.0,3.0,5.0,0,1,1,1.0,29837.0,Self Enquiry,Salaried,Female,Standard,Single,Senior Manager
56.0,1,9.0,4,4.0,4.0,5.0,0,1,0,2.0,29654.0,Company Invited,Salaried,Male,Standard,Married,Senior Manager
39.0,1,22.0,4,5.0,3.0,2.0,1,5,1,2.0,30188.0,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
37.0,1,8.0,4,6.0,5.0,4.0,1,1,1,1.0,28930.0,Self Enquiry,Large Business,Female,Standard,Married,Senior Manager
21.0,1,16.0,2,4.0,5.0,2.0,0,3,0,1.0,16416.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
29.0,3,6.0,2,3.0,3.0,2.0,0,3,1,0.0,22918.0,Company Invited,Small Business,Female,Standard,Divorced,Senior Manager
26.0,1,12.0,3,1.0,3.0,1.0,0,4,1,1.0,17544.0,Company Invited,Salaried,Male,Basic,Married,Executive
43.0,1,12.0,2,4.0,3.0,1.0,0,3,1,1.0,34392.0,Self Enquiry,Small Business,Female,King,Married,VP
31.0,1,14.0,3,4.0,3.0,3.0,0,5,1,2.0,22169.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
40.0,1,10.0,2,3.0,3.0,2.0,0,5,0,1.0,34033.0,Self Enquiry,Small Business,Female,King,Divorced,VP
39.0,2,9.0,4,4.0,4.0,7.0,0,3,1,3.0,21270.0,Company Invited,Salaried,Male,Basic,Married,Executive
40.0,1,20.0,2,4.0,3.0,2.0,0,3,1,1.0,34626.0,Self Enquiry,Small Business,Male,King,Single,VP
32.0,1,27.0,4,4.0,3.0,5.0,0,3,1,1.0,28502.0,Company Invited,Salaried,Male,Standard,Married,Senior Manager
23.0,1,33.0,3,5.0,3.0,3.0,1,3,0,1.0,21492.0,Company Invited,Salaried,Female,Basic,Married,Executive
30.0,1,9.0,4,4.0,4.0,2.0,0,4,1,1.0,21381.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
32.0,3,14.0,3,5.0,3.0,2.0,0,3,1,1.0,30235.0,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
35.0,1,14.0,3,4.0,4.0,2.0,0,5,0,1.0,30672.0,Self Enquiry,Salaried,Female,Standard,Single,Senior Manager
30.0,1,14.0,4,5.0,3.0,8.0,0,5,1,1.0,21210.0,Self Enquiry,Small Business,Female,Basic,Married,Executive
43.0,1,18.0,2,4.0,4.0,2.0,0,3,1,1.0,29336.0,Self Enquiry,Salaried,Male,Super Deluxe,Married,AVP
34.0,1,9.0,2,3.0,3.0,1.0,0,1,1,0.0,22756.0,Company Invited,Salaried,Male,Deluxe,Unmarried,Manager
41.0,3,26.0,3,3.0,4.0,2.0,1,4,0,2.0,18140.0,Self Enquiry,Small Business,Female,Basic,Single,Executive
35.0,3,5.0,3,3.0,5.0,2.0,0,4,0,0.0,24069.0,Company Invited,Salaried,Male,Standard,Married,Senior Manager
60.0,3,34.0,3,4.0,5.0,5.0,0,2,1,0.0,25266.0,Company Invited,Small Business,Female,Standard,Divorced,Senior Manager
39.0,1,9.0,3,4.0,3.0,3.0,1,5,1,1.0,20380.0,Company Invited,Salaried,Male,Basic,Married,Executive
27.0,1,7.0,3,5.0,3.0,3.0,1,4,0,1.0,21611.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
39.0,3,8.0,2,1.0,3.0,1.0,0,2,1,1.0,22880.0,Self Enquiry,Salaried,Male,Standard,Unmarried,Senior Manager
38.0,1,18.0,1,4.0,5.0,3.0,0,5,1,0.0,21288.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
42.0,3,13.0,4,4.0,3.0,5.0,1,1,0,1.0,32269.0,Self Enquiry,Salaried,Female,Standard,Single,Senior Manager
32.0,3,14.0,3,5.0,3.0,2.0,0,3,1,1.0,30235.0,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
46.0,3,15.0,3,4.0,3.0,2.0,0,5,1,2.0,24619.0,Self Enquiry,Small Business,Male,Standard,Unmarried,Senior Manager
26.0,1,16.0,3,4.0,5.0,5.0,0,1,1,1.0,20774.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
42.0,1,23.0,2,2.0,5.0,4.0,1,2,0,0.0,21545.0,Self Enquiry,Salaried,Female,Deluxe,Unmarried,Manager
53.0,1,11.0,2,3.0,3.0,5.0,0,5,0,1.0,34094.0,Self Enquiry,Salaried,Female,King,Married,VP
44.0,1,13.0,2,4.0,3.0,4.0,0,4,0,0.0,25248.0,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
43.0,1,9.0,4,5.0,3.0,5.0,0,1,1,1.0,25459.0,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
38.0,1,9.0,4,5.0,3.0,7.0,0,2,0,2.0,23841.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
35.0,3,14.0,3,3.0,3.0,2.0,0,3,0,0.0,17572.0,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
21.0,1,21.0,3,3.0,3.0,2.0,0,5,1,1.0,16232.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
30.0,3,8.0,3,3.0,4.0,2.0,0,3,1,2.0,17476.0,Self Enquiry,Large Business,Male,Basic,Divorced,Executive
44.0,1,17.0,3,5.0,3.0,3.0,0,3,0,1.0,23935.0,Company Invited,Salaried,Female,Deluxe,Married,Manager
33.0,1,13.0,3,4.0,3.0,5.0,0,2,0,2.0,21716.0,Self Enquiry,Salaried,Male,Basic,Unmarried,Executive
29.0,3,15.0,2,5.0,4.0,2.0,0,1,1,1.0,17760.0,Self Enquiry,Small Business,Female,Basic,Single,Executive
36.0,3,24.0,4,4.0,5.0,5.0,1,3,0,3.0,27644.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
38.0,1,18.0,2,4.0,5.0,3.0,0,5,1,0.0,21288.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
41.0,3,6.0,3,3.0,3.0,1.0,1,4,0,2.0,20993.0,Self Enquiry,Salaried,Female,Deluxe,Single,Manager
20.0,1,17.0,4,5.0,4.0,3.0,1,5,1,2.0,20537.0,Company Invited,Small Business,Female,Basic,Single,Executive
29.0,3,12.0,3,4.0,5.0,2.0,0,1,1,1.0,27141.0,Self Enquiry,Small Business,Male,Deluxe,Unmarried,Manager
29.0,1,7.0,3,5.0,4.0,3.0,0,4,0,1.0,21274.0,Company Invited,Small Business,Male,Basic,Married,Executive
38.0,1,15.0,3,3.0,5.0,5.0,0,3,0,2.0,21893.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
37.0,1,6.0,2,3.0,3.0,2.0,0,1,1,0.0,17115.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
43.0,1,8.0,3,1.0,3.0,2.0,0,1,1,2.0,17645.0,Self Enquiry,Small Business,Female,Basic,Married,Executive
31.0,1,13.0,2,4.0,3.0,2.0,0,1,1,0.0,23943.0,Company Invited,Salaried,Female,Standard,Married,Senior Manager
33.0,1,12.0,4,4.0,4.0,4.0,0,3,1,2.0,21396.0,Company Invited,Large Business,Male,Basic,Unmarried,Executive
55.0,1,8.0,2,5.0,3.0,5.0,0,4,1,1.0,34187.0,Self Enquiry,Small Business,Female,King,Divorced,VP
27.0,3,14.0,2,3.0,4.0,2.0,0,1,0,1.0,21214.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
30.0,3,17.0,3,4.0,4.0,3.0,0,1,1,1.0,20975.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
33.0,1,34.0,3,3.0,3.0,2.0,1,1,1,0.0,20207.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
37.0,1,17.0,3,4.0,5.0,2.0,1,5,1,2.0,26999.0,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
53.0,1,10.0,3,5.0,3.0,4.0,1,1,1,1.0,26647.0,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
27.0,1,12.0,3,5.0,3.0,3.0,1,1,0,2.0,21044.0,Company Invited,Small Business,Female,Basic,Married,Executive
48.0,3,9.0,4,5.0,3.0,3.0,1,1,0,1.0,21972.0,Self Enquiry,Salaried,Female,Basic,Unmarried,Executive
